"Freq [GHz]","re(Zo(antenna))*(sqrt((1+re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2))/(sqrt((1-re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2)) []","atan(im(S(antenna,antenna))/(1+re(S(antenna,antenna))))-atan((-im(S(antenna,antenna))/(1-re(S(antenna,antenna))))) [deg]"
0.001,1607061.26717316,-89.9999684381339
0.104413793103448,15433.3100129707,-89.9966972701035
0.207827586206897,7752.77562686678,-89.9934244194433
0.311241379310345,5175.70018764528,-89.9901480957737
0.414655172413793,3883.71926791184,-89.9868666008978
0.518068965517241,3107.26378616032,-89.983578268237
0.62148275862069,2588.98502084155,-89.9802814683133
0.724896551724138,2218.38757475246,-89.9769746108128
0.828310344827586,1940.15697358611,-89.9736561395086
0.931724137931034,1723.53637400267,-89.9703245251844
1.03513793103448,1550.05968239878,-89.9669782505745
1.13855172413793,1407.96968194049,-89.9636157931824
1.24196551724138,1289.42494309355,-89.9602356016886
1.34537931034483,1188.99483736971,-89.95683607019
1.44879310344828,1102.79910886958,-89.9534155096606
1.55220689655172,1027.99140817428,-89.949972117088
1.65562068965517,962.436362604046,-89.9465039445846
1.75903448275862,904.500546579446,-89.9430088690854
1.86244827586207,852.913099894353,-89.9394845617455
1.96586206896552,806.670314774082,-89.9359284590721
2.06927586206897,764.968829003138,-89.9323377336741
2.17268965517241,727.157873969809,-89.9287092643477
2.27610344827586,692.704525195468,-89.9250396015975
2.37951724137931,661.167975392456,-89.9213249254051
2.48293103448276,632.180199958847,-89.9175609866546
2.58634482758621,605.431195239557,-89.9137430219951
2.68975862068966,580.657527450117,-89.9098656242279
2.7931724137931,557.633292507171,-89.9059225372413
2.89658620689655,536.16278187127,-89.901906328449
3,516.074307688314,-89.8978078488276

