"Freq [GHz]","ang_rad(S(waveport1:1,antenna)) [rad]","ang_rad(S(waveport1:1,antenna)) [rad]","e_phase_antenna_waveport*180/pi []"
0.001,-1.57187611022586,-1.57187611022586,-0.0017806965890638
0.104413793103448,-1.68352618237142,-1.68352618237142,-0.185455754704551
0.207827586206897,-1.79517952618224,-1.79517952618224,-0.369179356887123
0.311241379310345,-1.9068389641543,-1.9068389641543,-0.552990481655172
0.414655172413793,-2.01850721076094,-2.01850721076094,-0.736932900247014
0.518068965517241,-2.13018661822632,-2.13018661822632,-0.92105044767425
0.62148275862069,-2.24187908649932,-2.24187908649932,-1.10538774606651
0.724896551724138,-2.35358599703536,-2.35358599703536,-1.28998958825651
0.828310344827586,-2.46530817205519,-2.46530817205519,-1.47490147351487
0.931724137931034,-2.57704586605906,-2.57704586605906,-1.66016929850535
1.03513793103448,-2.68879878530461,-2.68879878530461,-1.84584048289857
1.13855172413793,-2.80056613968984,-2.80056613968984,-2.03196241041941
1.24196551724138,-2.91234672053672,-2.91234672053672,-2.21858476799588
1.34537931034483,-3.02413900408973,-3.02413900408973,-2.4057573157629
1.44879310344828,-3.13594127464353,-3.13594127464353,-2.59353242439578
1.55220689655172,3.03543354610809,3.03543354610809,-2.78196357016518
1.65562068965517,2.92361652532553,2.92361652532553,-2.97110634681336
1.75903448275862,2.81179441555961,2.81179441555961,-3.16101929925088
1.86244827586207,2.69996828585121,2.69996828585121,-3.35176301461462
1.96586206896552,2.58813869948223,2.58813869948223,-3.54340181613241
2.06927586206897,2.47630560213045,2.47630560213045,-3.73600434695376
2.17268965517241,2.36446823060339,2.36446823060339,-3.92964325904548
2.27610344827586,2.25262504587635,2.25262504587635,-4.12439817860646
2.37951724137931,2.14077368941788,2.14077368941788,-4.32035601678311
2.48293103448276,2.02891096188184,2.02891096188184,-4.51761288618045
2.58634482758621,1.9170328170846,1.9170328170846,-4.7162770872639
2.68975862068966,1.80513435954208,1.80513435954208,-4.91647544080891
2.7931724137931,1.69320982569888,1.69320982569888,-5.11835542991027
2.89658620689655,1.58125250280084,1.58125250280084,-5.32209804783995
3,1.4692544694678,1.4692544694678,-5.52793102274377
