"Phase [deg]","Freq [GHz]","mag_energy*0.5*1.256637062e-6*2/(sqrt((1-mag(S(waveport1:1,waveport1:1))**2)/cos(atan(im(S(waveport1:1,waveport1:1))/(1+re(S(waveport1:1,waveport1:1))))-atan((-im(S(waveport1:1,waveport1:1))/(1-re(S(waveport1:1,waveport1:1))))))/(re(Zo(waveport1:1))*(sqrt((1+re(S(waveport1:1,waveport1:1)))**2+im(S(waveport1:1,waveport1:1))**2))/(sqrt((1-re(S(waveport1:1,waveport1:1)))**2+im(S(waveport1:1,waveport1:1))**2))))*sqrt(2))**2 []"
0,0.001,1.64999376574216E-08
0,0.104413793103448,1.65002288523736E-08
0,0.207827586206897,1.65009673945211E-08
0,0.311241379310345,1.65018291141158E-08
0,0.414655172413793,1.65023669187248E-08
0,0.518068965517241,1.65021473676648E-08
0,0.62148275862069,1.6500880378777E-08
0,0.724896551724138,1.64985254915086E-08
0,0.828310344827586,1.64953539441517E-08
0,0.931724137931034,1.64919319276303E-08
0,1.03513793103448,1.64890390115416E-08
0,1.13855172413793,1.64875229027759E-08
0,1.24196551724138,1.64881264260511E-08
0,1.34537931034483,1.64913158664965E-08
0,1.44879310344828,1.64971490328466E-08
0,1.55220689655172,1.6505210768875E-08
0,1.65562068965517,1.65146352667286E-08
0,1.75903448275862,1.65242174103259E-08
0,1.86244827586207,1.65326000764682E-08
0,1.96586206896552,1.65385097098523E-08
0,2.06927586206897,1.65409944608114E-08
0,2.17268965517241,1.65396226969558E-08
0,2.27610344827586,1.65345957174525E-08
0,2.37951724137931,1.65267505068219E-08
0,2.48293103448276,1.65174432320027E-08
0,2.58634482758621,1.65083330597682E-08
0,2.68975862068966,1.65011032187029E-08
0,2.7931724137931,1.64971671787312E-08
0,2.89658620689655,1.64974151138163E-08
0,3,1.65020401405546E-08

