"Phase [deg]","Freq [GHz]","wp1_ez_phase []","wp2_ez_phase []","atan(voltage_line_1_imag/voltage_line_1_real)*pi/180 [deg]"
0,0.001,1.56954124686453,-1.57217729357348,1.57052752548437
0,0.104413793103448,1.43974990834199,-1.71497481592334,1.54273614617232
0,0.207827586206897,1.31000307705905,-1.85773046492081,1.51498227661072
0,0.311241379310345,1.18034408539331,-2.00040304799804,1.48730275158078
0,0.414655172413793,1.0508148171645,-2.14295251573795,1.45973378571366
0,0.518068965517241,0.921455309453533,-2.28534009421227,1.43231067841643
0,0.62148275862069,0.792424,-2.427372,1.40515
0,0.724896551724138,0.663392569576469,-2.56948401237185,1.37803705003075
0,0.828310344827586,0.534755039039282,-2.71117315108046,1.35125020893903
0,0.931724137931034,0.406418197912975,-2.85256655648092,1.32473618766266
0,1.03513793103448,0.278406069473316,-2.99363733575548,1.29852212733869
0,1.13855172413793,0.150739137753388,-3.13436152908222,1.27263304636207
0,1.24196551724138,0.0234344085182639,3.00846719939031,1.24709173035359
0,1.34537931034483,-0.103494379034833,2.86849633383369,1.22191870915276
0,1.44879310344828,-0.230036410681985,2.72892651703942,1.19713216321601
0,1.55220689655172,-0.356183412387505,2.58977024371089,1.17274802709193
0,1.65562068965517,-0.481929301524703,2.45103764907906,1.14877995243615
0,1.75903448275862,-0.607269654619769,2.31273641775959,1.12523939774793
0,1.86244827586207,-0.732201274167804,2.17487236565731,1.10213566684547
0,1.96586206896552,-0.856721959041402,2.03744930788288,1.07947606797482
0,2.06927586206897,-0.980829875569911,1.90046960486875,1.05726596475762
0,2.17268965517241,-1.10452354297311,1.76393433836488,1.03550892962783
0,2.27610344827586,-1.22780143830525,1.62784338986772,1.01420684828168
0,2.37951724137931,-1.35066176852857,1.49219586953736,0.993360054247389
0,2.48293103448276,-1.47310260254405,1.35699016254817,0.972967455012341
0,2.58634482758621,-1.59512176595039,1.22222402687742,0.953026706362378
0,2.68975862068966,-1.71671692247255,1.08789486468597,0.933534262023068
0,2.7931724137931,-1.83788573283255,0.953999478780352,0.914485557099695
0,2.89658620689655,-1.95862589714549,0.820534393590389,0.89587509964144
0,3,-2.07893556195147,0.687495298991606,0.877696601808633

