"Freq [GHz]","sqrt(2)*sqrt(re(Zo(antenna))*(sqrt((1+re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2))/(sqrt((1-re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2))*(1-mag(S(antenna,antenna))**2)/cos(atan(im(S(antenna,antenna))/(1+re(S(antenna,antenna))))-atan((-im(S(antenna,antenna))/(1-re(S(antenna,antenna))))))) []"
0.001,19.9875295650126
0.104413793103448,19.9874083411123
0.207827586206897,19.9870827857451
0.311241379310345,19.9865410875381
0.414655172413793,19.9857828008492
0.518068965517241,19.9848072041291
0.62148275862069,19.9836133249115
0.724896551724138,19.9822000031729
0.828310344827586,19.9805658511056
0.931724137931034,19.9787092578353
1.03513793103448,19.9766283930641
1.13855172413793,19.9743211842263
1.24196551724138,19.9717853167817
1.34537931034483,19.9690182220541
1.44879310344828,19.9660170607846
1.55220689655172,19.9627787084563
1.65562068965517,19.9592997339516
1.75903448275862,19.9555763731408
1.86244827586207,19.9516045009648
1.96586206896552,19.947379595359
2.06927586206897,19.9428966942891
2.17268965517241,19.9381503400366
2.27610344827586,19.9331345140261
2.37951724137931,19.9278425465089
2.48293103448276,19.9222670030469
2.58634482758621,19.9163995249523
2.68975862068966,19.9102306065231
2.7931724137931,19.9037492690242
2.89658620689655,19.8969425692372
3,19.8897948211069

