ez_offset [mm],output_power_normalized_smoothed,output_power_scaled_smoothed
0.0,0.999494775292189,589.1067502801568
0.2,0.9993944996431429,589.0771499719807
0.4,0.9994856885651384,589.1040084399991
0.6,0.9996912144438351,589.1645860162959
0.8,0.9999339496648928,589.2361430329544
1.0,1.0001367666139735,589.2959398220596
1.2,1.000101869392266,589.2856512106177
1.4,0.9995612472349088,589.1263077510108
1.6,0.9994863659109546,589.1042329351351
1.8,0.9993383983015744,589.0606699136397
2.0,0.9990509060775629,588.9759057148652
2.2,0.9987896614036073,588.898855987243
2.4,0.9984606359462046,588.8018735312689
2.6,0.9983036709377873,588.75558954834
2.8,0.9982188874313618,588.7305826375222
3.0,0.9981620513858265,588.7138341927925
3.2,0.9978563730648307,588.623720001447
3.4,0.9976294729348035,588.556838841017
3.6,0.9976399292591503,588.5599042388999
3.8,0.9974578889090079,588.5061781061185
4.0,0.9972385680770793,588.4416139458854
4.2,0.9964960788184437,588.2223672828544
4.4,0.9957895369586938,588.0136638185481
4.6,0.9954466221160327,587.9124971003935
4.8,0.9946772294469932,587.685167375739
5.0,0.9943570920355801,587.5906614536906
5.2,0.9938307471085511,587.4350865496053
5.4,0.9931956764520405,587.2473063151372
5.6,0.9926270088057297,587.0791683608118
5.8,0.9922623990189605,586.971565539213
6.0,0.9914667214009592,586.7358877861811
6.2,0.9902201482126443,586.367030684799
6.4,0.9891494282350177,586.0500541399133
6.6,0.9882900597800388,585.7952769530002
6.8,0.9869786498573566,585.4067932133679
7.0,0.9858641299471927,585.0759687816757
7.2,0.9842804084217888,584.605965890717
7.4,0.9825958581901821,584.10565373513
7.6,0.9808267262736452,583.5795132356866
7.8,0.9789502596648445,583.0209953658418
8.0,0.9760795593496299,582.1654898476716
8.2,0.9736035829842655,581.427185685845
8.4,0.9703389440053679,580.4509664105333
8.6,0.9668046041451043,579.3927142056201
8.8,0.9632321218298029,578.3218846814093
9.0,0.9589791632023464,577.0439449605531
9.2,0.9543603292367985,575.6525328680303
9.4,0.9493587272128113,574.1422254703232
9.6,0.9438688634149814,572.4799475686709
9.8,0.9378055975782948,570.6376023551485
10.0,0.9311309537003334,568.6040541158848
10.2,0.9242308489527016,566.4932192084417
10.4,0.9163228746237083,564.066925909214
10.6,0.9079634290319719,561.4887887795873
10.8,0.8988874256049576,558.6742057356512
11.0,0.8886852669292391,555.4946534380797
11.2,0.8776273120816288,552.0278291172375
11.4,0.8656804283317726,548.2583785563609
11.6,0.8526039342328099,544.1025443674695
11.8,0.8383717305698504,539.5441086171281
12.0,0.8231638107419852,534.6290102912785
12.2,0.8068287804121086,529.2977370440681
12.4,0.7893327358564931,523.5271289500611
12.6,0.7705824839538019,517.2728317736169
12.8,0.7504991762164593,510.48880011770336
13.0,0.7290039641434671,503.12083675084057
13.2,0.7065269514706884,495.3054498503769
13.4,0.6829137199048646,486.9584828827321
13.6,0.6581891725779015,478.0659518882649
13.8,0.6322260357970972,468.5350442012553
14.0,0.6055792596166067,458.56018137218877
14.2,0.5780656998336902,448.0206302704685
14.4,0.5498163766590789,436.93057246083106
14.6,0.5209124969641439,425.2838523825243
14.8,0.49143526762025613,413.07431447479655
15.0,0.46146589549878636,400.2958031768963

