"Freq [GHz]","output_power []"
0.001,2.43193233008922E-10
0.0262016806722689,6.70325294961661E-09
0.0514033613445378,3.25162253484066E-08
0.0766050420168067,7.76258941880724E-08
0.101806722689076,1.41886420283792E-07
0.127008403361345,2.25150666678163E-07
0.152210084033613,3.27271997706884E-07
0.177411764705882,4.48104889405628E-07
0.202613445378151,5.8750419348078E-07
0.22781512605042,7.4532797437136E-07
0.253016806722689,9.21432711533204E-07
0.278218487394958,1.115678994237E-06
0.303420168067227,1.32792486464063E-06
0.328621848739496,1.55803092964805E-06
0.353823529411765,1.80586244978752E-06
0.379025210084034,2.0712843939081E-06
0.404226890756303,2.35415877350336E-06
0.429428571428571,2.65435504744465E-06
0.45463025210084,2.97174136248606E-06
0.479831932773109,3.30618696795091E-06
0.505033613445378,3.65756978426372E-06
0.530235294117647,4.0257546059498E-06
0.555436974789916,4.41062627882351E-06
0.580638655462185,4.81205550613134E-06
0.605840336134454,5.229927479692E-06
0.631042016806723,5.66412175241661E-06
0.656243697478992,6.11452019885326E-06
0.68144537815126,6.58101681906844E-06
0.70664705882353,7.0634935156319E-06
0.731848739495798,7.56184469169434E-06
0.757050420168067,8.0759651958511E-06
0.782252100840336,8.60574676587116E-06
0.807453781512605,9.15109426953953E-06
0.832655462184874,9.71189807172129E-06
0.857857142857143,1.02880803710193E-05
0.883058823529412,1.08795303369637E-05
0.908260504201681,1.14861643980102E-05
0.93346218487395,1.21078995220519E-05
0.958663865546219,1.27446382514112E-05
0.983865546218487,1.33963045112427E-05
1.00906722689076,1.40628229503565E-05
1.03426890756303,1.47441067793735E-05
1.05947058823529,1.54400898028558E-05
1.08467226890756,1.61506820118508E-05
1.10987394957983,1.68758370306623E-05
1.1350756302521,1.76154695377352E-05
1.16027731092437,1.8369531355511E-05
1.18547899159664,1.91379326793248E-05
1.21068067226891,1.9920637066256E-05
1.23588235294118,2.07175777470405E-05
1.26108403361345,2.1528690275142E-05
1.28628571428571,2.23539340290317E-05
1.31148739495798,2.31932398396545E-05
1.33668907563025,2.40465639525748E-05
1.36189075630252,2.49138553766783E-05
1.38709243697479,2.57950585697459E-05
1.41229411764706,2.66901372431462E-05
1.43749579831933,2.75990389238802E-05
1.4626974789916,2.85217114608459E-05
1.48789915966387,2.94581120705767E-05
1.51310084033613,3.04081959999304E-05
1.5383025210084,3.13719182048733E-05
1.56350420168067,3.23492326332083E-05
1.58870588235294,3.3340099865418E-05
1.61390756302521,3.4344465784006E-05
1.63910924369748,3.53622837948624E-05
1.66431092436975,3.63935148339978E-05
1.68951260504202,3.74381051072143E-05
1.71471428571429,3.84960017301482E-05
1.73991596638655,3.95671870401241E-05
1.76511764705882,4.06515631817005E-05
1.79031932773109,4.17491003811642E-05
1.81552100840336,4.28597513335691E-05
1.84072268907563,4.39834395523362E-05
1.8659243697479,4.51201307917841E-05
1.89112605042017,4.62697465937798E-05
1.91632773109244,4.74322235790523E-05
1.94152941176471,4.86075143771136E-05
1.96673109243697,4.97955338446512E-05
1.99193277310924,5.09962047955176E-05
2.01713445378151,5.22094915300699E-05
2.04233613445378,5.34353024824981E-05
2.06753781512605,5.46735307482056E-05
2.09273949579832,5.59241194557352E-05
2.11794117647059,5.71869847761227E-05
2.14314285714286,5.84620435422956E-05
2.16834453781513,5.97491949253929E-05
2.19354621848739,6.10483624123986E-05
2.21874789915966,6.23594149070931E-05
2.24394957983193,6.36823167793171E-05
2.2691512605042,6.50169031799013E-05
2.29435294117647,6.63631180428298E-05
2.31955462184874,6.77208289496106E-05
2.34475630252101,6.90899557085146E-05
2.36995798319328,7.04703454295024E-05
2.39515966386555,7.1861915789751E-05
2.42036134453781,7.32645609364632E-05
2.44556302521008,7.46781577606279E-05
2.47076470588235,7.61025870397979E-05
2.49596638655462,7.75377409013822E-05
2.52116806722689,7.89834910269519E-05
2.54636974789916,8.04397214200992E-05
2.57157142857143,8.19063138183401E-05
2.5967731092437,8.33831569372852E-05
2.62197478991597,8.48701429733831E-05
2.64717647058824,8.6367135541508E-05
2.6723781512605,8.78740428973652E-05
2.69757983193277,8.9390719776062E-05
2.72278151260504,9.09170881277631E-05
2.74798319327731,9.24530182879621E-05
2.77318487394958,9.3998408359641E-05
2.79838655462185,9.55531604422669E-05
2.82358823529412,9.71171750992778E-05
2.84878991596639,9.86903561996486E-05
2.87399159663866,0.000100272605453533
2.89919327731092,0.000101863857226321
2.92439495798319,0.000103464009168011
2.94959663865546,0.000105072984037241
2.97479831932773,0.000106690721754181
3,0.000108317157071395

